ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400B,P411B,P412B_CANT_1,P412B_CANT_2,P412B_UM,P412B_UMCOD,P412B_EQUI_KG,P413B_CANT_1,P413B_CANT_2,P413B_PREUNT_1,P413B_PREUNT_2,P413B_VAL,P413B_PRE_KG,P414B_ENT,P414B_DEC,P414B_PREUNT_1,P414B_PREUNT_2,P414B_VAL,P414B_PRE_KG,P415B_ENT,P415B_DEC,P415B_PREUNT_1,P415B_PREUNT_2,P415B_VAL,P415B_PRE_KG,P416B_ENT,P416B_DEC,P417B,OMICAP400_03
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00045,6,1,1,1,9.76923076923077,1,1,1,15,6,320,00,UNIDAD,24,.06,0,00, , , , ,160,00,0,50,80,8.3333, , , , , , ,160,00,8, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00050,7,1,1,1,9.76923076923077,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1,1,1,3,2,270,00,LITRO,14,1,0,00, , , , ,270,00,3,00,810,3,0,00, , , , ,0,00,6, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00077,9,1,1,1,9.76923076923077,1,1,1,3,2,360,00,LITRO,14,1,0,00, , , , ,45,00,3,00,135,3,315,00,3,00,945,3,0,00,15, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00081,10,1,1,1,9.76923076923077,1,1,1,3,2,240,00,LITRO,14,1,0,00, , , , ,120,00,4,00,480,4,0,00, , , , ,120,00,10, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00081,10,1,1,1,9.76923076923077,1,1,1,15,6,460,00,UNIDAD,24,.06,0,00, , , , ,120,00,0,50,60,8.3333, , , , , , ,340,00,10, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00113,13,1,1,1,9.76923076923077,1,1,1,3,2,120,00,LITRO,14,1,0,00, , , , ,120,00,4,00,480,4,0,00, , , , ,0,00,5, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00125,14,1,1,1,9.76923076923077,1,1,1,15,6,160,00,UNIDAD,24,.06,0,00, , , , ,160,00,0,50,80,8.3333, , , , , , ,0,00,4, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00014,2,1,1,1,18,1,0,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00035,3,1,1,1,18,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00049,4,1,1,1,18,1,0,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00070,5,1,1,1,18,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00120,9,1,1,1,18,1,0,1,3,2,60,00,LITRO,14,1,0,00, , , , ,60,00,2,50,150,2.5,0,00, , , , ,0,00,50, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00138,10,1,1,1,18,1,0,1,3,2,540,00,LITRO,14,1,0,00, , , , ,100,00,3,00,300,3,440,00,3,00,1320,3,0,00,40, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00151,11,1,1,1,18,1,0,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00181,12,1,1,1,18,1,0,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00199,13,1,1,1,18,1,0,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00208,14,1,1,1,18,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00009,1,1,1,1,8.23015873015873,1,1,1,15,6,200,00,UNIDAD,24,.06,0,00, , , , ,100,00,0,50,50,8.3333, , , , , , ,100,00,2, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00019,3,1,1,1,8.23015873015873,1,1,1,15,6,16,80,KILOGRAMO,12,1,0,00, , , , ,16,80,5,00,84,5, , , , , , ,0,00,2, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00022,4,1,1,1,8.23015873015873,1,1,1,15,6,64,00,KILOGRAMO,12,1,0,00, , , , ,3,00,4,50,14,4.5, , , , , , ,61,00,7, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00035,5,1,1,1,8.23015873015873,1,1,1,15,6,150,00,UNIDAD,24,.06,0,00, , , , ,130,00,0,50,65,8.3333, , , , , , ,20,00,2, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00063,10,1,1,1,8.23015873015873,1,1,1,15,6,54,00,KILOGRAMO,12,1,0,00, , , , ,34,00,10,00,340,10, , , , , , ,20,00,6, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00068,11,1,1,1,8.23015873015873,1,1,1,15,6,20,00,KILOGRAMO,12,1,0,00, , , , ,10,00,7,50,75,7.5, , , , , , ,10,00,2, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00081,12,1,1,1,8.23015873015873,1,0,1,15,6,200,00,UNIDAD,24,.06,0,00, , , , ,200,00,0,50,100,8.3333, , , , , , ,0,00,10, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00081,12,1,1,1,8.23015873015873,1,0,1,3,2,1350,00,LITRO,14,1,1000,00,3,50,3500,3.5,150,00,3,50,525,3.5,100,00,3,50,350,3.5,100,00,50, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00088,13,1,1,1,8.23015873015873,1,1,1,15,6,10,00,KILOGRAMO,12,1,2,00,10,00,20,10,3,00,10,00,30,10, , , , , , ,5,00,2, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00096,14,1,1,1,8.23015873015873,1,0,1,3,2,2000,00,LITRO,14,1,200,00,3,50,700,3.5,100,00,3,50,350,3.5,1670,00,3,50,5845,3.5,30,00,60, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00096,14,1,1,1,8.23015873015873,1,0,1,15,6,100,00,KILOGRAMO,12,1,50,00,6,00,300,6,40,00,10,00,400,10, , , , , , ,10,00,14, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00008,1,1,1,1,8.23015873015873,1,1,1,15,6,32,00,KILOGRAMO,12,1,20,00,10,00,200,10,12,00,12,50,150,12.5, , , , , , ,0,00,6, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00091,11,1,1,1,8.23015873015873,1,1,1,15,6,6,00,KILOGRAMO,12,1,0,00, , , , ,3,00,7,50,23,7.5, , , , , , ,3,00,3, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00102,12,1,1,1,8.23015873015873,1,1,1,1,1,200,00,LITRO,14,1,0,00, , , , ,0,00, , , , ,200,00,3,00,600,3,0,00,5, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00010,00071,9,1,1,1,9.60185185185185,1,1,1,3,2,1200,00,LITRO,14,1,0,00, , , , ,700,00,1,60,1120,1.6,500,00,1,80,900,1.8,0,00,5, 
