ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1201,P1201_EE,P1201_N,P1202_ENT,P1202_DEC,P1202_UM,P1202_COD,P1202_EQUIV_1,P1202_EQUIV_2,P1202A,P1202A_1,OMICAP1200
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00019,3,1,1,1,8.23015873015873,1, ,1,1,0,1, , ,1,300,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00022,4,1,1,1,8.23015873015873,1, ,1,1,0,1, , ,7,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00035,5,1,1,1,8.23015873015873,1, ,1,1,0,1, , ,5,700,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00039,6,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,14,000,1, ,1,0000,1,2, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00043,7,1,1,1,8.23015873015873,1, ,1,0,0,2, , ,0,930,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00045,8,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,0,800,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00058,9,1,1,1,8.23015873015873,1, ,0,0,1,1, , ,3,500,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00063,10,1,1,1,8.23015873015873,1, ,1,1,0,2, , ,3,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00068,11,1,1,1,8.23015873015873,1, ,1,1,0,1, , ,2,800,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00081,12,1,1,1,8.23015873015873,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00088,13,1,1,1,8.23015873015873,1, ,1,1,0,1, , ,7,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00096,14,1,1,1,8.23015873015873,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00008,1,1,1,1,8.23015873015873,1, ,1,1,0,1, , ,4,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00031,2,1,1,1,8.23015873015873,1, ,1,0,0,2, , ,5,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00034,3,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,2,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00035,4,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,20,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00041,5,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,3,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00049,6,1,1,1,8.23015873015873,1, ,1,0,0,2, , ,8,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00051,7,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,3,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00066,8,1,1,1,8.23015873015873,1, ,1,0,0,3, , ,6,500,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00072,9,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,2,980,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00079,10,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,3,500,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00091,11,1,1,1,8.23015873015873,1, ,1,1,0,2, , ,7,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00102,12,1,1,1,8.23015873015873,1, ,1,1,0,1, , ,1,000,1, ,1,0000,1,1, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00108,13,1,1,1,8.23015873015873,1, ,1,0,0,2, , ,5,500,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00110,14,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,7,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00009,00014,1,1,1,1,8.92857142857143,1, ,1,0,0,2, , ,14,000,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00009,00023,2,1,1,1,8.92857142857143,1, ,0,0,1,2, , ,2,300,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00009,00028,3,1,1,1,8.92857142857143,1, ,1,0,0,2, , ,7,000,1, ,1,0000,2, , 
