ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00062,10,1,1,1,128.214285714286,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,1000,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00074,12,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,320,000,KILOGRAMO,12,1,0,000, , , , ,0,000,320,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00076,13,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,100,000,KILOGRAMO,12,1,100,000,0,08,8,.08,0,000,0,000, 
2021,20,PIURA,06,SULLANA,05,MARCAVELICA,00130,00012,1,1,1,1,199.444444444444,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,600,000,KILOGRAMO,12,1,0,000, , , , ,600,000,0,000, 
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00004,1,1,1,1,128.214285714286,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,1000,000,0,000, 
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00018,3,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,300,000,KILOGRAMO,12,1,0,000, , , , ,300,000,0,000, 
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00055,7,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,300,000,KILOGRAMO,12,1,0,000, , , , ,300,000,0,000, 
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00103,12,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,1000,000,0,000, 
2021,20,PIURA,06,SULLANA,07,QUERECOTILLO,00171,00041,6,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1200,000,KILOGRAMO,12,1,0,000, , , , ,1200,000,0,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00009,1,1,1,1,138.076923076923,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1200,000,KILOGRAMO,12,1,0,000, , , , ,0,000,1200,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00017,2,1,1,1,138.076923076923,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,400,000,KILOGRAMO,12,1,0,000, , , , ,0,000,400,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00039,3,1,1,1,138.076923076923,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,2000,000,KILOGRAMO,12,1,0,000, , , , ,2000,000,0,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00059,4,1,1,1,138.076923076923,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,2500,000,KILOGRAMO,12,1,0,000, , , , ,2500,000,0,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00061,5,1,1,1,138.076923076923,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1500,000,KILOGRAMO,12,1,0,000, , , , ,1500,000,0,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00079,6,1,1,1,138.076923076923,1,1,1,1,FRIJOL DE PALO GRANO VERDE,2427,RASTROJO DE FRIJOL,4134,300,000,KILOGRAMO,12,1,0,000, , , , ,0,000,300,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00095,7,1,1,1,138.076923076923,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,1000,000,0,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00103,8,1,1,1,138.076923076923,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,750,000,KILOGRAMO,12,1,0,000, , , , ,0,000,750,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00104,9,1,1,1,138.076923076923,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,1000,000,0,08,80,.08,0,000,0,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00107,10,1,1,1,138.076923076923,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,800,000,KILOGRAMO,12,1,0,000, , , , ,800,000,0,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00115,11,1,1,1,138.076923076923,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,0,000,1000,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00132,12,1,1,1,138.076923076923,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,750,000,KILOGRAMO,12,1,0,000, , , , ,750,000,0,000, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00147,14,1,1,1,138.076923076923,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,600,000,KILOGRAMO,12,1,0,000, , , , ,600,000,0,000, 
2021,20,PIURA,02,AYABACA,10,SUYO,00258,00008,1,1,1,1,138.076923076923,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,150,000,CARGA,09,25,0,000, , , , ,0,000,150,000, 
