ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A,P402A,P403A_1,P403A_2,P403A_3,P403A_4_1_ENT,P403A_4_1_DEC,P403A_4_1_VAL,P403A_4_2_ENT,P403A_4_2_VAL,P403A_5_ENT,P403A_5_DEC,P403A_5_VAL,P403A_6_ENT,P403A_6_DEC,P403A_7_ENT,P403A_8_ENT,P403A_8_DEC,P403A_9_ENT,P403A_9_DEC,P403AA_1,P403AA_2,P403AA_3,P403AA_4,P403AA_5,P403AA_6,P403AA_7,P403AA_8,P403AA_9,P403AA_10,P404A
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00107,13,1,1,1,8.64285714285714,1,1,1,15,5,0,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,5
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00107,13,1,1,1,8.64285714285714,1,1,1,16,2,0,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,2
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00112,14,1,1,1,8.64285714285714,1,1,1,3,50,20,0,0,0,00, ,9,1080,3,00,360,0,00,8,0,00,0,00,1,1,0,0,0,0,0,0,0,0,50
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00005,1,1,1,1,11.5454545454545,1,1,1,3,6,4,0,0,0,00, ,3,252,1,00,96,0,00,0,0,00,0,00,1,0,0,0,0,0,0,0,0,0,6
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00005,1,1,1,1,11.5454545454545,1,1,1,10,0,0,2,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,2
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00018,2,1,1,1,11.5454545454545,1,1,1,4,4,4,0,0,3,00,1540,0, ,0,00, ,0,00,1,0,00,0,00,1,0,0,0,0,0,0,0,0,0,4
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00018,2,1,1,1,11.5454545454545,1,1,1,9,6,14,0,0,0,00, ,0, ,8,00,320,0,00,6, , ,0,00, , , , , , , , , , ,6
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00018,2,1,1,1,11.5454545454545,1,1,1,10,1,6,0,0,0,00, ,0, ,0,00, ,0,00,1, , ,0,00, , , , , , , , , , ,6
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,1,1,1,11.5454545454545,1,1,1,2,10,6,0,0,0,00, ,0, ,0,00, ,0,00,13,0,00,0,00, , , , , , , , , , ,3
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,1,1,1,11.5454545454545,1,1,1,3,0,0,2,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,2
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,1,1,1,11.5454545454545,1,1,1,4,4,4,0,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,8
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00038,4,1,1,1,11.5454545454545,1,1,1,1,12,0,0,0,0,00, ,6,6000,0,00, ,0,00,0,0,00,0,00,1,0,0,0,0,0,0,0,0,0,6
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00050,6,1,1,1,11.5454545454545,1,1,1,3,16,11,0,0,0,00, ,2,300,0,00, ,0,00,0,0,00,0,00,1,0,0,0,0,0,0,0,0,0,25
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00063,7,1,1,1,11.5454545454545,1,0,1,3,15,11,0,0,0,00, ,5,480,2,00,200,0,00,4,0,00,0,00,1,0,0,0,0,0,0,0,0,0,15
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00063,7,1,1,1,11.5454545454545,1,0,1,4,6,7,0,0,0,00, ,0, ,3,00,288,0,00,4,0,00,0,00, , , , , , , , , , ,6
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00063,7,1,1,1,11.5454545454545,1,0,1,9,11,0,0,0,0,00, ,0, ,5,00,150,0,00,2, , ,0,00, , , , , , , , , , ,4
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1,1,1,3,80,30,0,0,0,00, ,18,1620,2,00,180,0,00,10,0,00,0,00,1,0,0,0,0,0,0,0,0,0,80
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1,1,1,14,10,20,0,0,0,00, ,0, ,10,00,150,0,00,10, , ,0,00, , , , , , , , , , ,10
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1,1,1,15,12,8,0,0,0,00, ,0, ,5,00,125,0,00,3, , ,0,00, , , , , , , , , , ,12
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1,1,1,16,1,0,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,1
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1,1,1,1,4,1,0,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,5
