ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1203,P1205,P1205_NOM,P1205_COD,P1205_TIPO,P1206_SUP_1,P1206_SUP_2,OMICAP1200_02
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1, ,1,1,0,1,1,PASTO CHILENO,1416,3,0,730, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1, ,1,1,0,1,2,MANGO,1147,2,0,250, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1, ,1,0,0,1,1,YUCA,2620,1,0,600, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1, ,1,0,0,1,2,LIMON ACIDO,1140,3,0,280, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1, ,1,0,0,1,3,PASTO CHILENO,1416,3,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1, ,1,0,0,1,4,MANGO,1147,2,0,025, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1, ,1,0,0,1,5,PALTO,1162,2,0,015, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00077,8,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,0,750, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00087,9,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,1,530, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00087,9,1,1,1,8.64285714285714,1, ,1,1,0,1,2,LIMON ACIDO,1140,3,0,200, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00087,9,1,1,1,8.64285714285714,1, ,1,1,0,1,3,MANGO,1147,2,0,070, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00100,10,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,1,455, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00100,10,1,1,1,8.64285714285714,1, ,1,1,0,1,2,LIMON ACIDO,1140,3,0,300, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00100,10,1,1,1,8.64285714285714,1, ,1,1,0,1,3,MANGO,1147,2,0,025, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00101,11,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,1,800, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00101,11,1,1,1,8.64285714285714,1, ,1,1,0,1,2,PLATANO,1171,3,0,030, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00101,11,1,1,1,8.64285714285714,1, ,1,1,0,1,3,PAPAYA,1163,2,0,020, 
