ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P105_N,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,3,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,1,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,4,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,2,15,000
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00088,13,1,1,1,8.23015873015873,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,2,400,000
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00088,13,1,1,1,8.23015873015873,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,1,400,000
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00088,13,1,1,1,8.23015873015873,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,3,400,000
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00033,5,1,1,1,8.23015873015873,1,1,1,2,PASTO ELEFANTE,1424,3,1,2,2,45,000
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00033,5,1,1,1,8.23015873015873,1,1,1,2,PASTO ELEFANTE,1424,3,1,2,1,45,000
2021,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00031,00026,4,1,1,1,8.23015873015873,1,1,1,1,PASTO ELEFANTE,1424,3,1,1,1,8000,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00038,5,1,1,1,8.28571428571428,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,3,300,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00038,5,1,1,1,8.28571428571428,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,1,300,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00038,5,1,1,1,8.28571428571428,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,2,300,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00089,12,1,1,1,8.28571428571428,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,2,10,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00089,12,1,1,1,8.28571428571428,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,3,10,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00089,12,1,1,1,8.28571428571428,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,1,20,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00001,1,1,1,1,9.35714285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,3,3,100,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00001,1,1,1,1,9.35714285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,3,1,150,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00001,1,1,1,1,9.35714285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,3,2,150,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00088,10,1,1,1,9.35714285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,2,300,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00088,10,1,1,1,9.35714285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,3,300,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00088,10,1,1,1,9.35714285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,1,300,000
