ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00111,11,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,72,00,UNIDAD,24,1,0,00, , , , ,72,00,0,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00156,14,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,100,00,KILOGRAMO,12,1,0,00, , , , ,100,00,0,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00307,00062,10,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,150,00,KILOGRAMO,12,1,50,00,12,00,600,12,100,00,0,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00044,5,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,162,00,KILOGRAMO,12,1,100,00,12,00,1200,12,60,00,2,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00339,00001,1,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,18,00,KILOGRAMO,12,1,2,00,20,00,40,20,10,00,6,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00339,00036,6,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,180,00,KILOGRAMO,12,1,0,00, , , , ,180,00,0,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00339,00052,8,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,207,50,KILOGRAMO,12,1,192,50,10,00,1925,10,5,00,10,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00340,00021,3,1,2,4,80.3461538461539,1,1,1,1,1,1,QUESO,4208,40,00,KILOGRAMO,12,1,0,00, , , , ,35,00,5,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00343,00075,7,1,2,4,80.3461538461539,1,1,1,1,1,1,QUESO,4208,120,00,KILOGRAMO,12,1,0,00, , , , ,100,00,20,00, 
2021,20,PIURA,02,AYABACA,07,PAIMAS,00368,00096,12,1,1,1,128.214285714286,1,1,1,1,1,1,QUESO,4208,70,00,UNIDAD,24,.5,0,00, , , , ,70,00,0,00, 
2021,20,PIURA,02,AYABACA,07,PAIMAS,00372,00017,1,1,1,1,128.214285714286,1,1,1,1,1,1,QUESO,4208,236,25,UNIDAD,24,1,0,00, , , , ,200,00,36,25, 
2021,20,PIURA,02,AYABACA,07,PAIMAS,00372,00155,13,1,1,1,128.214285714286,1,1,1,1,1,1,QUESO,4208,12,00,UNIDAD,24,1,0,00, , , , ,12,00,0,00, 
2021,20,PIURA,02,AYABACA,08,SAPILLICA,00397,00001,1,1,1,1,128.214285714286,1,1,1,1,1,1,QUESO,4208,37,50,KILOGRAMO,12,1,0,00, , , , ,37,50,0,00, 
2021,20,PIURA,02,AYABACA,08,SAPILLICA,00397,00020,4,1,1,1,128.214285714286,1,1,1,1,1,1,QUESO,4208,43,00,KILOGRAMO,12,1,0,00, , , , ,43,00,0,00, 
2021,20,PIURA,02,AYABACA,08,SAPILLICA,00397,00040,7,1,1,1,128.214285714286,1,1,1,1,1,1,QUESO,4208,175,00,KILOGRAMO,12,1,0,00, , , , ,175,00,0,00, 
2021,20,PIURA,02,AYABACA,08,SAPILLICA,00397,00061,10,1,1,1,128.214285714286,1,1,1,1,1,1,QUESO,4208,125,00,KILOGRAMO,12,1,0,00, , , , ,125,00,0,00, 
